district,bid multiplier,households of 4,population - 16 to 24,population - 25 to 44,supermarkets,convenience stores,football stadiums,music Venues,meta,google trends,location - postal area,tier
B40,0.83,-,-,-,-,-,Medium,-,"1,000",High,Birmingham,5
B46,0.9,"7,517","1,256","2,918",3,7,Medium,-,"5,117",High,Birmingham,3
B76,0.88,"13,456","1,973","5,210",2,3,Medium,-,"6,100",Medium,Birmingham,4
B78,0.91,"15,002","2,406","6,216",6,12,Medium,1,"9,967",Medium,Birmingham,3
B79,0.9,"13,957","2,117","5,319",6,15,Medium,1,"10,000",Medium,Birmingham,3
B92,0.97,"23,356","3,700","9,183",1,7,Medium,-,"11,733",High,Birmingham,2
B93,0.91,"11,695","1,655","3,891",3,8,Medium,-,"4,767",High,Birmingham,3
CV35,0.89,"14,899","1,874","5,500",2,8,Low,2,"9,183",Medium,Coventry,4
CV36,0.87,"5,856",714,"1,920",2,4,Low,-,"3,183",High,Coventry,4
CV37,0.98,"25,949","3,559","9,817",7,25,Low,2,"14,900",High,Coventry,2
CV7,0.95,"17,057","2,569","6,534",4,11,Low,-,"11,700",High,Coventry,2
DY1,0.92,"19,884","3,734","8,916",7,51,Low,-,"12,483",Low,Dudley,3
DY10,0.93,"22,819","3,650","9,150",2,17,Low,-,"13,550",Medium,Dudley,3
DY11,0.91,"19,019","3,023","7,486",2,8,Low,1,"11,800",Medium,Dudley,3
DY13,0.89,"13,990","1,979","5,081",1,5,Low,-,"8,133",Medium,Dudley,3
DY2,0.92,"21,309","4,165","9,677",6,18,Low,-,"12,133",Medium,Dudley,3
DY3,0.94,"21,046","3,416","7,959",2,18,Low,-,"12,100",High,Dudley,2
DY4,0.97,"26,778","5,138","12,612",3,32,Low,-,"15,900",Medium,Dudley,2
DY5,0.96,"26,277","5,003","11,709",18,32,Low,1,"16,800",Low,Dudley,2
DY6,0.91,"16,653","2,592","6,033",5,30,Low,-,"9,333",Medium,Dudley,3
DY7,0.84,"5,019",724,"1,573",1,4,Low,-,"2,583",Medium,Dudley,5
DY8,0.98,"31,595","4,749","12,770",11,18,Low,-,"16,767",Medium,Dudley,2
DY9,0.9,"18,177","2,905","7,012",3,28,Low,-,"8,783",Medium,Dudley,3
DY12,0.84,"7,742",967,"2,420",1,2,Low,-,"3,800",Medium,Dudley,5
DY14,0.83,"5,142",752,"1,635",1,4,Low,-,"2,883",Medium,Dudley,5
GL20,0.92,"17,429","2,599","7,318",6,8,Low,1,"10,733",Medium,Gloucester,3
GL18,0.85,"4,624",721,"1,534",2,3,Low,-,"3,317",Medium,Gloucester,4
GL19,0.83,"5,370",781,"1,620",-,4,Low,-,"3,100",Medium,Gloucester,5
GL51,0.99,"33,029","6,041","14,263",11,14,Low,-,"16,850",Medium,Gloucester,2
GL52,0.98,"27,761","4,260","11,835",5,12,Low,2,"14,400",High,Gloucester,2
GL54,0.89,"13,718","1,626","4,588",5,9,Low,1,"7,917",Medium,Gloucester,3
GL55,0.86,"3,363",372,914,1,7,Low,-,"1,800",High,Gloucester,4
GL56,0.83,"5,309",576,"1,772",3,7,Low,1,"3,117",Medium,Gloucester,5
HR8,0.88,"8,663","1,161","3,090",3,7,Low,1,"4,983",High,Hereford,4
TF11,0.84,"6,266",928,"2,287",2,5,Low,-,"5,167",Medium,Telford,4
WR1,0.86,"6,477","1,332","3,311",8,29,Low,2,"4,333",Medium,Worcester,4
WR10,0.86,"10,922","1,471","3,379",1,7,Low,-,"6,783",Medium,Worcester,4
WR11,0.96,"25,697","4,174","10,174",5,33,Low,2,"17,717",Medium,Worcester,2
WR12,0.82,"3,414",400,926,-,3,Low,-,"1,900",Medium,Worcester,5
WR14,0.91,"21,218","3,116","7,366",10,18,Low,-,"11,467",Medium,Worcester,3
WR2,0.93,"18,165","3,940","6,377",10,9,Low,-,"11,250",Medium,Worcester,3
WR3,0.9,"12,848","1,835","5,627",4,2,Low,-,"7,983",Medium,Worcester,3
WR4,0.92,"16,637","2,931","8,016",3,6,Low,-,"10,050",Medium,Worcester,3
WR5,0.94,"19,363","3,083","8,853",5,12,Low,1,"13,200",Medium,Worcester,2
WR7,0.83,"2,894",374,926,-,-,Low,-,"1,617",Medium,Worcester,5
WR8,0.84,"5,193",632,"1,513",1,1,Low,1,"2,733",Medium,Worcester,5
WR9,0.92,"19,108","2,803","7,261",6,22,Low,1,"13,200",Low,Worcester,3
WR99,0.81,-,-,-,-,-,Low,-,-,Medium,Worcester,5
WR13,0.82,"4,916",619,"1,346",-,1,Low,-,"2,400",Medium,Worcester,5
WR6,0.86,"7,231",929,"2,256",-,6,Low,-,"3,883",Medium,Worcester,4
WS1,0.91,"16,182","3,830","8,244",3,57,Low,-,"7,733",Medium,Walsall,3
WS10,1,"28,872","5,824","12,652",4,38,Low,-,"17,767",High,Walsall,1
WS2,0.96,"23,949","5,056","11,134",2,41,Low,-,"14,367",Medium,Walsall,2
WS4,0.88,"10,571","1,820","4,112",1,13,Low,-,"5,817",Medium,Walsall,4
WS5,0.88,"12,876","2,320","5,577",2,12,Low,-,"5,217",Medium,Walsall,4
WS14,0.86,"9,876","1,403","3,966",2,3,Low,-,"5,133",Medium,Walsall,4
WS3,1.01,"31,495","5,492","12,367",4,23,Low,1,"19,367",Medium,Walsall,1
WS6,0.89,"10,965","2,045","4,077",2,5,Low,-,"6,467",Medium,Walsall,3
WS8,0.89,"9,645","1,647","4,073",4,12,Low,-,"5,833",High,Walsall,3
WS9,0.92,"16,526","2,487","5,961",4,16,Low,-,"8,517",High,Walsall,3
WV1,0.89,"10,174","2,347","4,763",2,52,Low,2,"6,133",High,Wolverhampton,4
WV12,0.92,"15,870","2,894","6,490",3,8,Low,-,"8,517",High,Wolverhampton,3
WV13,0.91,"13,153","2,546","5,926",3,26,Low,1,"7,483",High,Wolverhampton,3
WV14,1.01,"29,876","5,597","12,763",1,35,Low,1,"17,800",High,Wolverhampton,1
WV2,0.88,"9,520","1,992","4,471",7,37,Low,3,"5,050",High,Wolverhampton,4
WV3,0.92,"18,791","3,051","8,172",6,38,Low,-,"8,167",High,Wolverhampton,3
WV4,0.93,"21,612","3,697","9,346",1,30,Low,-,"9,400",High,Wolverhampton,3
WV5,0.85,"9,728","1,567","3,332",2,9,Low,-,"4,500",Medium,Wolverhampton,4
WV6,0.97,"28,376","5,169","11,792",4,42,Low,-,"13,417",High,Wolverhampton,2
WV98,0.81,-,-,-,-,-,Low,-,-,High,Wolverhampton,5
WV10,1.07,"35,751","7,115","15,369",7,39,Low,-,"22,433",High,Wolverhampton,1
WV11,0.98,"22,105","3,936","8,750",5,27,Low,-,"13,133",High,Wolverhampton,2
WV15,0.83,"4,813",656,"1,806",5,4,Low,1,"2,967",Low,Wolverhampton,5
WV16,0.89,"10,713","1,519","3,943",3,5,Low,-,"6,733",High,Wolverhampton,4
WV7,0.84,"3,969",553,"1,563",2,4,Low,-,"2,067",High,Wolverhampton,4
WV8,0.87,"9,765","1,566","3,707",2,7,Low,-,"5,050",High,Wolverhampton,4
WV9,0.85,"4,531",736,"1,743",1,2,Low,-,"2,000",High,Wolverhampton,4
B77,1.03,"35,414","6,642","16,325",7,23,Medium,-,"22,656",Low,Birmingham,1
CV1,0.97,"20,103","7,399","8,911",6,66,Low,8,"13,333",High,Coventry,2
CV10,1.04,"31,325","5,553","13,786",7,19,Low,-,"22,667",High,Coventry,1
CV11,0.96,"24,539","4,496","10,149",6,35,Low,1,"16,183",Medium,Coventry,2
CV12,0.96,"20,071","3,139","7,876",3,9,Low,-,"11,400",High,Coventry,2
CV2,1.08,"41,777","8,343","17,950",6,52,Low,-,"24,850",High,Coventry,1
CV21,0.95,"23,497","3,910","10,870",4,35,Low,-,"15,283",Medium,Coventry,2
CV22,0.93,"21,210","3,117","8,839",7,14,Low,-,"13,317",Medium,Coventry,3
CV23,0.9,"12,498","1,727","5,134",3,8,Low,-,"9,833",Medium,Coventry,3
CV3,1.1,"40,824","7,186","16,951",4,47,Low,-,"22,350",High,Coventry,1
CV31,0.92,"20,482","6,303","9,437",6,15,Low,1,"10,317",Medium,Coventry,3
CV32,0.91,"21,499","4,074","9,349",5,22,Low,-,"9,183",Medium,Coventry,3
CV33,0.82,"3,708",493,"1,382",1,2,Low,-,"2,217",Medium,Coventry,5
CV34,0.93,"20,147","2,842","9,672",11,31,Low,1,"14,400",Medium,Coventry,3
CV4,0.95,"18,725","4,208","7,613",3,20,Low,1,"10,933",High,Coventry,2
CV47,0.87,"10,275","1,543","4,156",4,7,Low,-,"7,833",Medium,Coventry,4
CV5,1.01,"30,111","6,185","11,974",4,53,Low,-,"15,133",High,Coventry,1
CV6,1.14,"47,362","8,343","24,746",8,395,Low,-,"31,817",High,Coventry,1
CV8,0.92,"19,362","2,578","7,047",7,7,Low,-,"10,050",High,Coventry,3
CV13,0.84,"6,395",864,"2,218",2,4,Low,-,"3,617",Medium,Coventry,5
CV9,0.89,"13,154","2,040","5,142",5,9,Low,1,"9,267",Low,Coventry,4
LE10,1,"30,001","4,524","12,637",11,28,Low,1,"19,783",Medium,Leicester,2
LE18,0.92,"20,042","3,339","7,984",8,14,Low,-,"10,117",Medium,Leicester,3
LE19,0.87,"9,136","1,511","4,015",6,20,Low,-,"5,700",Medium,Leicester,4
LE21,0.81,-,-,-,-,-,Low,-,-,Medium,Leicester,5
LE87,0.81,-,-,-,-,-,Low,-,-,Medium,Leicester,5
LE95,0.81,-,-,-,-,-,Low,-,-,Medium,Leicester,5
LE1,0.88,"8,662","3,021","4,281",7,103,Low,13,"5,933",Medium,Leicester,4
LE16,0.93,"20,881","2,837","8,383",11,24,Low,-,"13,317",Medium,Leicester,3
LE17,0.89,"12,326","1,836","4,656",3,15,Low,1,"8,867",Medium,Leicester,3
LE2,1.11,"47,362","8,343","24,746",20,105,Low,2,"32,550",Medium,Leicester,1
LE3,1.14,"47,362","8,343","24,746",8,101,Low,2,"36,867",High,Leicester,1
LE5,1.09,"47,362","8,343","24,383",6,177,Low,-,"21,900",High,Leicester,1
LE55,0.81,-,-,-,-,-,Low,-,-,Medium,Leicester,5
LE6,0.84,"7,375","1,223","2,911",3,3,Low,-,"3,583",Medium,Leicester,5
LE7,0.97,"27,237","4,309","10,461",8,22,Low,1,"16,300",Medium,Leicester,2
LE8,0.93,"21,204","3,274","8,186",10,16,Low,-,"12,917",Medium,Leicester,3
LE9,1.03,"33,665","5,409","13,628",12,21,Low,-,"20,683",High,Leicester,1
NN11,0.97,"23,113","3,718","9,965",9,17,Low,2,"16,617",Medium,Northampton,2
NN13,0.88,"11,334","1,738","4,878",9,12,Low,-,"8,350",Medium,Northampton,4
NN12,0.91,"13,846","1,964","5,552",5,12,Low,-,"10,567",Medium,Northampton,3
NN6,0.93,"19,961","2,969","7,281",4,15,Low,2,"13,783",Medium,Northampton,3
NN7,0.95,"16,455","2,365","5,932",-,14,Low,-,"10,067",High,Northampton,2
OX15,0.89,"10,657","1,350","3,569",2,5,Low,1,"6,650",High,Oxford,3
OX16,0.99,"29,377","5,109","14,612",19,24,Low,-,"19,767",Medium,Oxford,2
OX17,0.88,"10,193","1,277","3,731",2,2,Low,-,"5,950",High,Oxford,4
OX25,0.87,"5,246",759,"2,345",3,1,Low,-,"4,083",Medium,Oxford,4
OX7,0.88,"13,976","1,778","5,052",6,11,Low,1,"7,433",Medium,Oxford,4
LE94,0.81,-,-,-,-,-,Low,-,-,Medium,Leicester,5
MK1,0.83,423,62,202,5,5,Low,1,"1,000",High,Milton Keynes,5
MK10,0.88,"8,561","1,248","6,225",7,7,Low,-,"7,800",Medium,Milton Keynes,4
MK11,0.87,"4,901",726,"2,056",-,13,Low,1,"3,467",High,Milton Keynes,4
MK12,0.89,"7,896","1,374","4,095",1,16,Low,1,"5,267",High,Milton Keynes,4
MK13,0.9,"12,026","2,107","5,658",4,14,Low,-,"5,800",High,Milton Keynes,3
MK14,0.92,"11,632","2,074","5,604",5,8,Low,-,"7,333",High,Milton Keynes,3
MK15,0.85,"4,544",676,"1,906",2,3,Low,-,"2,317",Medium,Milton Keynes,4
MK16,0.91,"11,370","1,774","4,934",4,12,Low,-,"6,633",High,Milton Keynes,3
MK19,0.88,"6,750",918,"2,987",1,4,Low,-,"4,867",High,Milton Keynes,4
MK2,0.88,"9,055","1,598","3,928",1,15,Low,-,"5,517",Medium,Milton Keynes,4
MK3,0.91,"14,175","2,340","5,993",2,6,Low,-,"9,217",Medium,Milton Keynes,3
MK4,0.91,"13,270","2,041","7,960",6,2,Low,-,"9,333",Medium,Milton Keynes,3
MK40,0.92,"19,399","3,868","9,403",5,55,Low,1,"11,817",Medium,Milton Keynes,3
MK41,0.95,"26,359","4,461","10,750",4,7,Low,-,"12,600",Medium,Milton Keynes,2
MK42,1,"28,129","5,190","14,063",5,31,Low,-,"19,417",Medium,Milton Keynes,2
MK43,0.96,"19,737","2,855","7,879",5,12,Low,1,"14,600",High,Milton Keynes,2
MK45,0.99,"26,205","4,227","10,415",5,14,Low,1,"18,483",High,Milton Keynes,2
MK46,0.85,"5,533",698,"2,231",3,3,Low,-,"3,417",High,Milton Keynes,4
MK5,0.87,"9,350","1,531","4,985",2,15,Low,-,"4,383",Medium,Milton Keynes,4
MK6,0.93,"17,687","3,094","9,549",2,18,Low,-,"11,467",Medium,Milton Keynes,3
MK7,0.88,"9,096","1,442","5,085",1,5,Low,1,"4,667",High,Milton Keynes,4
MK77,0.82,-,-,-,-,-,Low,-,-,High,Milton Keynes,5
MK8,0.88,"7,452","1,299","3,939",1,6,Low,-,"3,933",High,Milton Keynes,4
MK9,0.85,"2,658",549,"1,995",3,27,Low,1,"2,900",Medium,Milton Keynes,4
NN1,0.95,"21,073","4,522","11,567",7,55,Low,3,"14,650",Low,Northampton,2
NN10,0.95,"23,551","3,713","10,517",4,14,Low,1,"15,333",Medium,Northampton,2
NN14,0.98,"26,137","3,846","11,059",9,9,Low,-,"17,533",High,Northampton,2
NN15,0.94,"20,887","3,207","8,875",9,19,Low,-,"15,633",Medium,Northampton,2
NN16,0.92,"19,671","3,444","9,269",5,23,Low,-,"12,450",Medium,Northampton,3
NN17,0.93,"17,368","2,917","7,126",5,22,Low,1,"14,433",Low,Northampton,3
NN18,0.95,"21,105","3,925","10,181",5,9,Low,-,"16,650",Medium,Northampton,2
NN2,0.95,"23,911","4,890","10,279",5,18,Low,-,"14,967",Medium,Northampton,2
NN29,0.84,"7,050",915,"2,792",2,3,Low,1,"4,483",Medium,Northampton,4
NN3,1.06,"42,853","7,387","17,778",10,29,Low,1,"27,850",Medium,Northampton,1
NN4,0.99,"28,923","4,702","15,218",7,21,Low,-,"19,200",Medium,Northampton,2
NN5,0.96,"24,483","3,956","11,487",7,25,Low,-,"16,500",Medium,Northampton,2
NN8,1.03,"31,309","5,225","13,976",5,60,Low,-,"20,850",High,Northampton,1
NN9,0.94,"16,099","2,565","6,746",3,8,Low,-,"11,433",High,Northampton,3
PE5,0.81,962,122,328,-,-,Low,-,"1,000",Medium,Peterborough,5
CB1,1,"32,483","7,040","17,178",17,33,Low,1,"12,833",High,Cambridge,1
CB2,0.89,"6,756","1,262","3,413",15,15,Low,3,"10,067",High,Cambridge,3
CB22,0.91,"14,727","2,003","5,797",1,18,Low,1,"7,300",High,Cambridge,3
CB23,0.94,"18,462","2,643","9,261",2,13,Low,2,"10,800",High,Cambridge,3
CB24,0.95,"20,019","2,995","8,983",4,12,Low,-,"11,117",High,Cambridge,2
CB25,0.9,"10,726","1,505","4,607",2,5,Low,1,"6,083",High,Cambridge,3
CB3,0.87,"6,702",983,"2,972",5,4,Low,-,"4,717",High,Cambridge,4
CB4,0.97,"27,996","5,340","14,921",7,22,Low,-,"12,267",High,Cambridge,2
CB5,0.87,"7,466","1,355","4,085",4,5,Low,-,"4,050",High,Cambridge,4
CB6,0.94,"23,085","3,454","10,725",4,13,Low,2,"14,567",Medium,Cambridge,2
CB10,0.86,"8,042","1,155","3,179",6,14,Low,1,"4,650",Medium,Cambridge,4
CB21,0.88,"9,302","1,345","3,470",2,6,Low,1,"4,750",High,Cambridge,4
CB7,0.91,"16,443","2,519","7,888",4,21,Low,1,"10,833",Medium,Cambridge,3
CB8,0.95,"20,891","3,184","8,979",11,18,Low,-,"11,850",High,Cambridge,2
MK44,0.88,"9,251","1,254","3,072",1,10,Low,-,"5,617",High,Milton Keynes,4
PE1,1.01,"30,776","6,588","15,668",8,118,Low,-,"21,083",Medium,Peterborough,1
PE15,0.93,"18,338","2,880","6,994",3,11,Low,-,"12,550",Medium,Peterborough,3
PE16,0.85,"6,543","1,070","2,746",3,4,Low,-,"4,783",Medium,Peterborough,4
PE26,0.86,"7,295","1,281","2,846",-,4,Low,-,"4,567",Medium,Peterborough,4
PE27,0.89,"12,531","2,097","5,421",5,24,Low,1,"6,450",Medium,Peterborough,4
PE29,0.93,"18,636","3,411","8,981",5,11,Low,-,"12,450",Medium,Peterborough,3
PE3,0.91,"17,897","3,315","7,975",5,15,Low,1,"10,900",Medium,Peterborough,3
PE4,0.92,"18,275","3,093","7,730",3,19,Low,-,"10,567",Medium,Peterborough,3
PE13,0.96,"22,021","3,731","8,630",3,34,Low,1,"15,650",Medium,Peterborough,2
PE14,0.89,"12,542","1,980","4,444",1,7,Low,-,"7,883",Medium,Peterborough,3
PE19,0.98,"27,031","4,489","11,857",6,25,Low,1,"16,717",Medium,Peterborough,2
PE2,0.98,"29,029","4,845","13,729",9,28,Low,1,"18,867",Medium,Peterborough,2
PE28,1.01,"27,634","4,152","11,041",4,11,Low,1,"18,683",High,Peterborough,1
PE34,0.85,"8,640","1,387","3,149",2,6,Low,-,"5,083",Low,Peterborough,4
PE38,0.86,"9,235","1,290","3,370",-,6,Low,-,"5,550",Medium,Peterborough,4
PE6,0.94,"21,493","3,270","8,308",2,13,Low,-,"15,167",Medium,Peterborough,2
PE7,1,"26,192","4,488","12,416",4,32,Low,-,"19,633",Medium,Peterborough,2
PE8,0.91,"9,816","1,332","3,904",2,9,Low,-,"5,333",High,Peterborough,3
PE9,0.93,"19,440","2,577","7,727",7,14,Low,-,"10,433",High,Peterborough,3
SG15,0.82,"3,496",590,"1,764",-,2,Low,-,"2,017",Medium,Stevenage,5
SG7,0.85,"8,146","1,247","3,358",1,8,Low,3,"4,550",Low,Stevenage,4
SG8,0.93,"23,063","3,366","9,740",2,21,Low,1,"12,700",Medium,Stevenage,3
SG16,0.83,"3,634",489,"1,753",-,3,Low,-,"2,383",Medium,Stevenage,5
SG17,0.85,"7,238","1,163","3,227",-,2,Low,-,"5,800",Medium,Stevenage,4
SG18,0.91,"14,862","2,377","6,376",6,13,Low,-,"11,683",Medium,Stevenage,3
SG19,0.89,"14,671","2,250","6,338",4,6,Low,-,"8,767",Medium,Stevenage,4
CB9,0.97,"20,168","3,764","9,135",5,18,Low,-,"12,317",High,Cambridge,2
CM7,0.98,"30,476","5,282","13,687",8,19,Low,1,"16,933",Medium,Chelmsford,2
CO10,0.99,"28,823","4,172","10,501",13,23,Low,-,"16,633",High,Colchester,2
CO11,0.85,"7,972","1,201","2,911",2,2,Low,-,"4,733",Low,Colchester,4
CO4,1.01,"29,209","6,506","13,329",11,10,Low,1,"20,317",Medium,Colchester,1
CO6,0.91,"17,176","2,337","6,486",4,6,Low,-,"10,433",Medium,Colchester,3
CO7,0.93,"20,180","3,106","6,921",6,24,Low,1,"11,817",Medium,Colchester,3
CO8,0.83,"1,398",165,473,-,1,Low,-,"1,000",Medium,Colchester,5
CO9,0.89,"15,546","2,297","5,980",7,6,Low,-,"9,167",Medium,Colchester,3
IP24,0.92,"17,457","3,358","7,823",6,19,Low,-,"12,683",Medium,Ipswich,3
IP26,0.84,"5,352",840,"2,145",-,2,Low,1,"3,433",Medium,Ipswich,5
IP27,0.88,"11,218","1,858","4,886",4,5,Low,-,"8,217",Medium,Ipswich,4
IP28,0.91,"14,930","2,573","7,077",3,17,Low,-,"12,633",Medium,Ipswich,3
IP29,0.83,"5,390",685,"1,794",-,-,Low,-,"2,500",Low,Ipswich,5
IP30,0.86,"8,190","1,178","2,994",2,4,Low,-,"4,467",Medium,Ipswich,4
IP31,0.89,"12,201","1,809","4,574",1,8,Low,-,"6,567",Medium,Ipswich,4
IP32,0.88,"10,828","1,995","5,296",3,13,Low,-,"5,717",Medium,Ipswich,4
IP33,0.89,"15,936","2,320","6,266",9,9,Low,3,"8,183",Medium,Ipswich,4
IP7,0.86,"9,498","1,369","3,652",1,11,Low,-,"5,500",Medium,Ipswich,4
IP14,0.97,"23,702","3,589","9,557",7,8,Low,-,"14,500",High,Ipswich,2
IP22,0.88,"13,544","1,902","4,779",4,13,Low,1,"7,583",Medium,Ipswich,4
IP23,0.83,"4,150",622,"1,362",2,4,Low,-,"2,317",Medium,Ipswich,5
IP25,0.87,"10,575","1,561","3,724",-,6,Low,-,"7,600",Low,Ipswich,4
IP6,0.86,"9,821","1,350","3,713",3,6,Low,-,"6,600",Medium,Ipswich,4
IP8,0.84,"6,753",942,"2,803",6,4,Low,-,"4,317",Medium,Ipswich,4
IP9,0.84,"6,531",922,"2,059",2,4,Low,1,"4,000",Low,Ipswich,5
NR16,0.84,"7,116","1,046","2,602",1,3,Low,-,"3,950",Low,Norwich,5
NR17,0.86,"9,725","1,518","3,744",13,15,Low,-,"6,367",Low,Norwich,4
NR18,0.87,"10,411","1,488","4,001",5,6,Low,-,"7,383",Low,Norwich,4
NR19,0.89,"12,682","2,166","5,030",7,11,Low,-,"7,033",Medium,Norwich,4
NR20,0.88,"11,367","1,676","3,896",-,5,Low,-,"6,217",Medium,Norwich,4
NR9,0.86,"10,150","1,268","3,786",1,8,Low,-,"6,717",Medium,Norwich,4
PE32,0.85,"9,301","1,305","2,946",-,8,Low,-,"5,083",Medium,Peterborough,4
PE33,0.88,"9,008","1,343","3,664",-,3,Low,1,"5,150",High,Peterborough,4
PE37,0.84,"6,373",895,"1,922",3,9,Low,-,"4,017",Medium,Peterborough,5
IP1,0.95,"25,119","4,795","11,524",18,40,Low,1,"14,050",Medium,Ipswich,2
IP10,0.81,"1,813",231,516,-,-,Low,-,"1,200",Medium,Ipswich,5
IP12,0.88,"14,530","1,892","4,871",3,8,Low,1,"7,433",Medium,Ipswich,4
IP13,0.86,"10,678","1,508","3,297",3,11,Low,2,"5,317",Medium,Ipswich,4
IP15,0.81,"1,608",126,352,2,4,Low,-,"1,000",Low,Ipswich,5
IP16,0.85,"4,056",617,"1,395",1,2,Low,-,"2,367",High,Ipswich,4
IP17,0.84,"6,656",772,"1,918",3,5,Low,4,"3,883",Medium,Ipswich,5
IP18,0.82,"2,623",240,562,2,1,Low,-,"1,117",Low,Ipswich,5
IP19,0.83,"6,385",873,"1,747",1,13,Low,-,"3,017",Medium,Ipswich,5
IP2,0.92,"20,196","3,867","8,673",6,17,Low,1,"11,233",Medium,Ipswich,3
IP20,0.83,"4,862",608,"1,742",-,11,Low,-,"2,533",Low,Ipswich,5
IP21,0.83,"6,726",867,"2,238",1,1,Low,-,"3,350",Low,Ipswich,5
IP3,0.93,"21,921","3,966","10,410",16,25,Low,-,"11,767",Low,Ipswich,3
IP4,0.93,"22,965","3,845","10,324",9,40,Low,3,"12,567",Medium,Ipswich,3
IP5,0.87,"11,812","1,707","5,127",3,4,Low,-,"6,217",Medium,Ipswich,4
IP98,0.8,-,-,-,-,-,Low,-,-,Low,Ipswich,5
NR14,0.9,"14,289","2,004","5,148",2,9,Low,-,"8,933",Medium,Norwich,3
NR15,0.85,"9,398","1,380","3,552",2,5,Low,-,"5,133",Medium,Norwich,4
NR31,1.02,"31,783","5,558","11,763",8,19,Low,-,"21,183",Medium,Norwich,1
NR32,0.95,"24,266","3,974","8,826",5,28,Low,-,"15,183",Medium,Norwich,2
NR33,0.94,"24,576","3,923","8,837",9,13,Low,1,"14,500",Medium,Norwich,2
NR34,0.87,"13,808","2,034","4,607",1,14,Low,-,"7,283",Medium,Norwich,4
NR35,0.84,"6,629",971,"2,327",1,4,Low,1,"3,367",Low,Norwich,5
NR4,0.89,"11,819","2,304","3,967",11,6,Low,-,"9,017",Medium,Norwich,3
NR99,0.8,-,-,-,-,-,Low,-,-,Medium,Norwich,5
NR1,0.91,"17,452","2,993","8,397",7,34,Low,3,"10,200",Medium,Norwich,3
NR13,0.9,"16,087","2,192","5,736",5,7,Low,1,"10,283",Medium,Norwich,3
NR2,0.91,"19,112","5,352","8,289",5,33,Low,1,"8,717",Medium,Norwich,3
NR29,0.87,"12,109","1,648","3,742",3,5,Low,-,"7,083",Medium,Norwich,4
NR3,0.93,"23,056","4,353","11,608",9,32,Low,3,"11,700",Medium,Norwich,3
NR30,0.92,"20,132","3,669","7,361",2,34,Low,1,"11,717",Medium,Norwich,3
NR5,0.91,"18,889","4,633","8,081",6,7,Low,-,"10,733",Medium,Norwich,3
NR6,0.89,"15,036","2,230","6,068",4,8,Low,-,"8,850",Medium,Norwich,4
NR7,0.91,"20,060","2,994","7,588",7,10,Low,-,"10,650",Medium,Norwich,3
SA61,0.86,"9,343","1,734","3,610",6,12,Low,-,"5,933",Medium,Swansea,4
SA63,0.81,677,98,228,-,-,Low,-,"1,000",Low,Swansea,5
SA67,0.83,"4,310",670,"1,354",-,2,Low,-,"2,817",Low,Swansea,5
SA68,0.82,"2,629",390,774,1,1,Low,-,"1,617",Low,Swansea,5
SA69,0.82,"2,209",300,598,-,3,Low,-,"1,367",Low,Swansea,5
SA70,0.84,"6,159",935,"1,928",3,3,Low,-,"3,283",Medium,Swansea,5
SA71,0.84,"6,511","1,021","2,114",1,2,Low,1,"3,767",Low,Swansea,5
SA72,0.85,"6,726","1,335","2,512",3,2,Low,-,"4,283",Medium,Swansea,4
SA73,0.9,"13,005","2,278","4,527",1,5,Low,-,"8,500",Medium,Swansea,3
SA34,0.82,"3,321",562,"1,147",1,1,Low,-,"1,733",Low,Swansea,5
SA35,0.81,429,60,124,-,-,Low,-,"1,000",Low,Swansea,5
SA36,0.81,237,38,91,-,-,Low,-,"1,000",Low,Swansea,5
SA41,0.81,"1,176",179,359,-,-,Low,-,"1,000",Low,Swansea,5
SA62,0.91,"12,774","1,853","4,184",-,5,Low,1,"7,133",High,Swansea,3
SA65,0.82,"2,806",447,846,1,4,Low,-,"1,617",Low,Swansea,5
SA66,0.81,"1,898",281,609,-,-,Low,-,"1,100",Low,Swansea,5
SA1,1.04,"33,545","8,343","13,274",6,67,Low,4,"18,617",High,Swansea,1
SA14,0.95,"21,196","3,579","8,243",3,13,Low,-,"14,000",High,Swansea,2
SA15,0.96,"24,054","4,191","8,800",4,19,Low,1,"13,667",High,Swansea,2
SA16,0.83,"5,493",793,"1,785",1,2,Low,-,"2,750",Low,Swansea,5
SA17,0.84,"5,911",951,"1,959",1,2,Low,-,"3,567",Low,Swansea,5
SA18,0.92,"18,833","3,008","6,854",2,14,Low,-,"10,983",Medium,Swansea,3
SA2,0.98,"22,986","6,808","7,656",6,16,Low,-,"11,100",High,Swansea,2
SA3,0.91,"16,574","1,822","5,235",3,13,Low,-,"6,667",High,Swansea,3
SA31,0.87,"10,858","1,924","4,019",6,14,Low,1,"7,667",Low,Swansea,4
SA4,1,"27,921","4,453","11,391",3,17,Low,-,"16,183",High,Swansea,1
SA5,0.97,"23,795","4,067","9,781",4,16,Low,-,"11,933",High,Swansea,2
SA6,0.97,"22,224","3,636","8,937",1,14,Low,-,"13,350",High,Swansea,2
SA7,0.9,"9,437","1,552","4,567",3,10,Low,-,"5,883",High,Swansea,3
SA80,0.82,-,-,-,-,-,Low,-,-,High,Swansea,5
SA99,0.81,-,-,-,-,-,Low,-,-,Medium,Swansea,5
CF10,0.9,"10,676","2,843","6,442",10,23,Medium,7,"7,767",Medium,Cardiff,3
CF11,0.97,"24,043","4,632","13,712",8,29,Medium,3,"14,617",Medium,Cardiff,2
